id,title,category,time,text,posts
101873345,Amazon Lev 44 Jav Price Check,Price Check,Sep 28 2023 05:45pm,Worth anything?,"[{'time': 'Sep 28 2023 05:45pm', 'text': 'Worth anything?', 'author': 'seminole20'}, {'time': 'Sep 28 2023 05:45pm', 'text': 'This is surely a troll? If not grata bro', 'author': 'aust261'}, {'time': 'Sep 28 2023 05:46pm', 'text': '50', 'author': 'Toggle'}, {'time': 'Sep 28 2023 05:53pm', 'text': 'wtb your vipermagi', 'author': 'hayasi'}, {'time': 'Sep 28 2023 05:54pm', 'text': 'Quote (hayasi @ Sep 29 2023 01:53am)wtb your vipermagisame you can charsi this ', 'author': 'devodevo'}, {'time': 'Sep 28 2023 06:00pm', 'text': 'Quote (aust261 @ Sep 28 2023 07:45pm)This is surely a troll? If not grata broNever know, it’s beginning of season. Def not a troll. ', 'author': 'seminole20'}, {'time': 'Sep 28 2023 06:02pm', 'text': 'Quote (hayasi @ Sep 28 2023 07:53pm)wtb your vipermagiHow much?', 'author': 'seminole20'}, {'time': 'Sep 28 2023 06:20pm', 'text': 'Lmk how much you want for the javs', 'author': 'aust261'}, {'time': 'Oct 3 2023 02:13pm', 'text': 'Bump', 'author': 'seminole20'}]"
101873376,Arctic Fur Armor,FT,Sep 28 2023 05:48pm,Post offers,"[{'time': 'Sep 28 2023 05:48pm', 'text': 'Post offers', 'author': 'Draculia'}, {'time': 'Sep 30 2023 06:21pm', 'text': '1fg', 'author': 'Nessiatko'}]"
101873526,Bonesnap Maul,FT,Sep 28 2023 06:06pm,259 ed,"[{'time': 'Sep 28 2023 06:06pm', 'text': '259 ed', 'author': 'subaridji'}, {'time': 'Sep 30 2023 05:22am', 'text': 'Bump', 'author': 'subaridji'}]"
101873554,My Ladder Shop,FT,Sep 28 2023 06:08pm,closeThis post was edited by Shakrana on Sep 30 2023 05:42pm,"[{'time': 'Sep 28 2023 06:08pm', 'text': 'closeThis post was edited by Shakrana on Sep 30 2023 05:42pm', 'author': 'Shakrana'}, {'time': 'Sep 28 2023 11:52pm', 'text': 'Bump', 'author': 'Shakrana'}, {'time': 'Sep 29 2023 08:54am', 'text': 'Bump', 'author': 'Shakrana'}, {'time': 'Sep 29 2023 03:52pm', 'text': 'Bump', 'author': 'Shakrana'}, {'time': 'Sep 29 2023 08:00pm', 'text': 'Bump', 'author': 'Shakrana'}, {'time': 'Sep 29 2023 08:01pm', 'text': '40 on titans ', 'author': 'BAMt'}, {'time': 'Sep 30 2023 12:37am', 'text': 'Bump', 'author': 'Shakrana'}, {'time': 'Sep 30 2023 10:35am', 'text': 'Bump', 'author': 'Shakrana'}, {'time': 'Sep 30 2023 03:08pm', 'text': 'Bump', 'author': 'Shakrana'}]"
101873611,~ Find Me This In Normal Cows ~,ISO,Sep 28 2023 06:14pm,These 3 items are very rare and very sought after.They can ONLY be found in normal cows to have the correct sockets/skills.Item #1 (I am paying 3k fg for this)Wolf head OR Hawk Helm WITH: (must be level 9 required or less)+3 to werebear (3os ONLY) will pay more if it also has oakItem #2 (viperlld will negotiate a price with you for this)War Scepter (level 9 required or less) with:+3 to defiance (5os only)Item #3 (bonus for you as this sells for 1500+ fg)+3 to oak sage pelt (0os or 3os)This post was edited by starcreaft453 on Sep 30 2023 07:48am,"[{'time': 'Sep 28 2023 06:14pm', 'text': 'These 3 items are very rare and very sought after.They can ONLY be found in normal cows to have the correct sockets/skills.Item #1 (I am paying 3k fg for this)Wolf head OR Hawk Helm WITH: (must be level 9 required or less)+3 to werebear (3os ONLY) will pay more if it also has oakItem #2 (viperlld will negotiate a price with you for this)War Scepter (level 9 required or less) with:+3 to defiance (5os only)Item #3 (bonus for you as this sells for 1500+ fg)+3 to oak sage pelt (0os or 3os)This post was edited by starcreaft453 on Sep 30 2023 07:48am', 'author': 'starcreaft453'}, {'time': 'Sep 28 2023 07:23pm', 'text': ""Come on guys let's find us these items this season!"", 'author': 'ViperLLD'}, {'time': 'Sep 30 2023 07:47am', 'text': 'Bump', 'author': 'starcreaft453'}, {'time': 'Sep 30 2023 07:48am', 'text': 'Do have 3wb from somewhere in act3, but i guess thats not gonna work?', 'author': 'Nismo_Frank'}, {'time': 'Sep 30 2023 07:48am', 'text': 'Quote (Nismo_Frank @ Sep 30 2023 07:48am)Do have 3wb from somewhere in act3, but i guess thats not gonna work?Would need to be chaos sanctuary and depend on the mob so no. But feel free to socket lolThis post was edited by starcreaft453 on Sep 30 2023 07:49am', 'author': 'starcreaft453'}, {'time': 'Sep 30 2023 07:50am', 'text': 'Quote (starcreaft453 @ 30 Sep 2023 15:48)Would need to be chaos samctuaryWell thats a shame! Gl on searchHaha tried it just to be sure! Got 2 sockets indeed This post was edited by Nismo_Frank on Sep 30 2023 07:51am', 'author': 'Nismo_Frank'}, {'time': 'Sep 30 2023 07:52am', 'text': 'Quote (Nismo_Frank @ 30 Sep 2023 15:50)Well thats a shame! Gl on searchHaha tried it just to be sure! Got 2 sockets indeed :(And today dear kids we learn about what ilvls are.', 'author': 'Nigzel'}, {'time': 'Oct 2 2023 12:42pm', 'text': 'Bump', 'author': 'starcreaft453'}, {'time': 'Oct 5 2023 10:12am', 'text': 'Bump', 'author': 'starcreaft453'}]"
101873613,Rare Dual Res Mf Boots,FT,Sep 28 2023 06:14pm,offer,"[{'time': 'Sep 28 2023 06:14pm', 'text': 'offer', 'author': 'Auger'}, {'time': 'Sep 28 2023 08:55pm', 'text': 'Bump', 'author': 'Auger'}, {'time': 'Oct 1 2023 09:36am', 'text': '150', 'author': 'Sky1in3'}]"
101873718,Iso: 5000x Full Tal Sets + Spirit Monarch,ISO,Sep 28 2023 06:27pm,"Looking to buy bulk onlyEdit: 3k sets sorted, need 2k moreThis post was edited by TheGodOfPumpkin on Sep 28 2023 10:17pm","[{'time': 'Sep 28 2023 06:27pm', 'text': 'Looking to buy bulk onlyEdit: 3k sets sorted, need 2k moreThis post was edited by TheGodOfPumpkin on Sep 28 2023 10:17pm', 'author': 'TheGodOfPumpkin'}, {'time': 'Sep 28 2023 06:28pm', 'text': '   ', 'author': 'Gluurbuur'}, {'time': 'Sep 28 2023 06:34pm', 'text': 'Quote (Gluurbuur @ Sep 29 2023 01:28pm):rofl:  :bonk:how many do you have? maybe we can make a deal on a smaller amount', 'author': 'TheGodOfPumpkin'}, {'time': 'Sep 28 2023 06:35pm', 'text': ""All Hail The Great Pumpkin! G'luck in your search."", 'author': 'Handcuffs'}, {'time': 'Sep 28 2023 06:38pm', 'text': 'What do you need 5000 Tal sets for? ^^', 'author': 'Annibaddi'}, {'time': 'Sep 28 2023 06:38pm', 'text': 'Quote (Annibaddi @ Sep 29 2023 01:38pm)What do you need 5000 Tal sets for? ^^i like to keep spares just in case i make new characters', 'author': 'TheGodOfPumpkin'}, {'time': 'Sep 28 2023 06:38pm', 'text': 'Understandable understandableQuote (TheGodOfPumpkin @ Sep 28 2023 05:38pm)i like to keep spares just in case i make new characters', 'author': 'Kal_Imp'}, {'time': 'Sep 28 2023 06:39pm', 'text': 'all herepm', 'author': 'hypeshako'}, {'time': 'Sep 28 2023 10:18pm', 'text': 'Quote (hypeshako @ Sep 29 2023 01:39pm)all herepmnever responded, still need 2k more', 'author': 'TheGodOfPumpkin'}, {'time': 'Sep 28 2023 10:19pm', 'text': '  This post was edited by der_lustige_lol on Sep 28 2023 10:19pm', 'author': 'der_lustige_lol'}]"
101873759,O Arctic Set Armor,FT,Sep 28 2023 06:32pm,O Arctic set armor,"[{'time': 'Sep 28 2023 06:32pm', 'text': 'O Arctic set armor', 'author': 'Eldo2'}, {'time': 'Sep 30 2023 02:40pm', 'text': 'Bump', 'author': 'Eldo2'}, {'time': 'Sep 30 2023 06:33pm', 'text': '1fg', 'author': 'Nessiatko'}]"
101873773,Iso Druid Summoning Gc's,ISO,Sep 28 2023 06:33pm,lmk ,"[{'time': 'Sep 28 2023 06:33pm', 'text': 'lmk ', 'author': 'TerpTrain'}, {'time': 'Oct 2 2023 08:12pm', 'text': '1 here - 30fg', 'author': 'HARDSKiLLED'}, {'time': 'Oct 2 2023 08:16pm', 'text': '1 here 20fg', 'author': 'd2rdubs'}]"
101873819,Socket Quests By Adnileon,Service,Sep 28 2023 06:39pm,  This post was edited by Adnileon on Sep 30 2023 02:05am,"[{'time': 'Sep 28 2023 06:39pm', 'text': '  This post was edited by Adnileon on Sep 30 2023 02:05am', 'author': 'Adnileon'}, {'time': 'Sep 29 2023 12:52am', 'text': 'Bump', 'author': 'Adnileon'}, {'time': 'Sep 29 2023 05:30am', 'text': 'Bump', 'author': 'Adnileon'}, {'time': 'Sep 30 2023 01:06am', 'text': 'Bump', 'author': 'Adnileon'}]"
